Subsession,SCPStim,SCPStimAmp,HFS,BURST,Update,Files,TaskMode,Electrode1Depth,Electrode2Depth,Electrode3Depth,Electrode4Depth
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,250,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,1,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,250,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,1,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,250,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,1,150,1,0,1,1-15,Reach,10.4,14.8,17.1,14.8
1,0,,0,0,1,1-15,Reach,10.4,14.8,17.1,14.8
