id,recording_day,file_number,trial_number_in_file,start_move_in_seconds,stop_turn_in_seconds
1,32,1,1,1.3614039519938868,
2,32,1,2,0.9996632636082268,
3,32,1,3,1.0321492044556153,
4,32,1,4,1.3146192353600297,
5,32,1,5,0.7990953200240457,
6,32,1,6,1.3151084214985282,
8,32,1,8,1.151476244863867,
9,32,1,9,0.7717601690185093,
10,32,1,10,1.543070911941523,2.0186019157361947
11,32,1,11,1.370698352463088,
12,32,1,12,1.1619189773964793,
13,32,1,13,2.078147137210446,
15,32,1,15,1.3149976105134265,1.6656272843122546
16,32,1,16,1.3506751868466962,
17,32,1,17,1.5847692514181144,
18,32,1,18,1.153445300796935,
19,32,1,19,2.1953467784610425,
20,32,1,20,0.8769825580784562,1.2967778622972845
21,32,1,21,0.7768834077756775,
22,32,1,22,1.5207297642257893,
23,32,1,23,1.313381008937942,
25,32,1,25,1.4553360112515066,1.794535481303933
26,32,1,26,1.3929046874124589,
27,32,1,27,1.5385381325912595,
28,32,1,28,1.0865161541991029,
29,32,1,29,1.2432051331563356,
30,32,1,30,0.9652726441892759,1.340262439130529
31,32,1,31,1.1770361496560202,
32,32,1,32,1.2458251072373852,
33,32,1,33,2.090454976702944,
34,32,1,34,2.572636513959146,
36,32,1,36,1.2916969724941052,
37,32,1,37,0.9294126348452338,
38,32,1,38,0.7992158855307188,
39,32,1,39,1.0901413631153092,
40,32,1,40,2.328148108428711,2.545577893702678
45,32,1,45,1.569445559212549,1.8664872305142743
46,32,1,46,1.2945506257848292,
47,32,1,47,1.1817010862385458,
48,32,1,48,1.4124803323753328,
49,32,1,49,2.007432111387249,
50,32,1,50,1.0485778199958884,1.2611875676202835
51,32,1,51,1.1807307912215586,
52,32,1,52,1.450599562274505,
54,32,1,54,1.5589563810589744,
55,32,1,55,1.1692406219768563,1.5907550124263792
56,32,1,56,1.3948143253773537,
57,32,1,57,1.1829604139576473,
58,32,1,58,1.09208768511461,
59,32,1,59,1.3162860190072427,
60,32,1,60,0.9031721518185744,1.2558368162262559
61,32,1,61,0.7055792006653743,
62,32,1,62,1.3253690674781822,
63,32,1,63,1.17772000062565,
64,32,1,64,1.3144982657563433,
65,32,1,65,1.397342269760258,
66,32,1,66,0.8049073739391699,
67,32,1,67,1.3028882009891765,
68,32,1,68,1.6437035029840104,
69,32,1,69,2.4598748924076754,
70,32,1,70,1.25315043519275,1.7516780305790998
71,32,1,71,1.1726132780015313,
73,32,1,73,1.441117377633896,
74,32,1,74,0.8056123262215146,
75,32,1,75,1.0733349643868562,1.4210893955302617
76,32,1,76,0.8970836593341908,
77,32,1,77,1.1753098962606179,
78,32,1,78,1.2358964211536234,
79,32,1,79,0.9601715616774968,
80,32,1,80,0.8399280668714527,1.276811578016263
81,32,1,81,1.6747489457725948,
82,32,1,82,0.7968027934859749,
83,32,1,83,2.3131591464853725,
84,32,1,84,0.9760795983127821,
88,32,1,88,1.1021214477986518,
89,32,1,89,1.404847515730401,
90,32,1,90,1.4896831804895156,
91,32,1,91,0.8181517156499467,
92,32,1,92,1.430478780097479,
93,32,1,93,0.7092737179368891,
94,32,1,94,1.7422868673856446,
95,32,1,95,0.7650586012608119,1.2990092241353026
96,32,1,96,0.714155136434398,
97,32,1,97,1.4108932755413932,
98,32,1,98,1.4541107783794425,
99,32,1,99,0.9672464214217559,
100,32,1,100,1.1181022326278167,1.4639004165643743
102,32,1,102,0.8076693580309824,
103,32,1,103,0.9685372832393455,
104,32,1,104,1.072386008404163,
105,32,1,105,0.9475566559159838,1.295282596287138
106,32,1,106,0.7451955936431665,
107,32,1,107,1.4095079313193497,
108,32,1,108,0.7924499187400956,
109,32,1,109,0.7723690856021916,
111,32,1,111,0.7534517410981826,
112,32,1,112,1.0511882724518786,
113,32,1,113,0.7064723975562817,
114,32,1,114,0.916573300662043,
115,32,1,115,0.8811498019897788,1.2540758860349421
117,32,8,1,1.4625336113855236,
121,32,8,5,0.8123541945409795,
123,32,8,7,0.7466710827439268,
124,32,8,8,1.3571895769786808,1.6463223568153362
125,32,8,9,0.7324667303353543,
126,32,8,10,0.9901288684052234,
127,32,8,11,1.2303550151166267,
128,32,8,12,0.9306288637876483,
129,32,8,13,1.1903170705747648,
131,32,8,15,0.8588304972046605,
133,32,8,17,4.727442596736546,
134,32,8,18,1.0626602987135996,1.4793401522958314
135,32,8,19,0.9263874387133089,
139,32,8,23,1.1944300250411033,1.648868831233981
140,32,8,24,0.7572205408138019,
142,32,8,26,0.8350428554241405,
143,32,8,27,1.5710469883698128,
144,32,8,28,0.7600740015493225,1.1833261684498118
145,32,8,29,0.81979385955334,
146,32,8,30,0.8160927021105675,
147,32,8,31,1.520437995624539,
150,32,8,34,1.1748998213721795,
152,32,8,36,1.537195302990975,
153,32,8,37,1.2500872493179058,
154,32,8,38,1.1362452060427457,1.4876764056259333
155,32,8,39,0.7504170331090682,
156,32,8,40,0.8950575550247704,
157,32,8,41,1.2745895660591084,
159,32,8,43,1.368258292305114,1.7996831496036212
160,32,8,44,1.4384893910885006,
162,32,9,1,1.7535215234547852,
163,32,9,2,1.2144404275837535,
165,32,9,4,1.3707025273799904,
168,32,9,7,1.1490901484455158,
169,32,9,8,0.7662066720420136,1.3777846956276905
170,32,9,9,0.840733207434418,
171,32,9,10,0.8162679572436247,
172,32,9,11,0.7702736453013885,
173,32,9,12,0.7720737480554007,
174,32,9,13,0.7454854085353022,1.2515651354295008
176,32,9,15,1.0025117959368277,
177,32,9,16,0.7916679144084511,
178,32,9,17,0.8956835782959336,
179,32,9,18,0.8437135901212753,1.253020417308813
180,32,9,19,0.8112046709155302,
181,32,9,20,1.2283937721213707,
182,32,9,21,0.8094114706347797,
183,32,9,22,0.8295790180878269,
184,32,9,23,0.8915753917592014,1.0807158435875184
185,32,9,24,0.834639074735648,
186,32,9,25,0.8326156732567377,
188,32,9,27,1.6195102053064152,
189,32,9,28,0.8455666079986033,1.2057308442759458
190,32,9,29,0.7977890279801241,
193,32,9,32,1.103759389116621,
194,32,9,33,0.8487156374292066,1.4210644975596691
195,32,9,34,1.2976449356722872,
197,32,9,36,0.8061988035079769,
200,32,9,39,1.501031915459037,
201,32,9,40,0.9149274923801443,
203,32,10,1,1.4549557008457183,
207,32,10,5,0.8174642558693876,
209,32,10,7,1.191390908901692,
211,32,10,9,0.8953590893858691,1.1259877961826346
212,32,10,10,1.307576969009638,
215,32,10,13,1.1572822379097372,
217,32,10,15,1.0855449986863175,
218,32,10,16,1.0796182665508949,
219,32,10,17,0.8170434773544969,
220,32,10,18,0.813024438428876,
221,32,10,19,0.9941319080087537,1.2408950645643464
222,32,10,20,0.7842433328176304,
223,32,10,21,1.150747191123956,
224,32,10,22,1.2890243178206617,
225,32,10,23,1.011018351778537,
227,32,10,25,0.7383868243364231,
230,32,10,28,1.1331657483315483,
232,32,10,30,1.7429938500130235,
234,32,10,32,0.7801220739479263,
235,32,10,33,0.903708565315898,
236,32,10,34,0.8316383499474872,
237,32,10,35,1.2984488100504858,
238,32,10,36,0.8014060746179549,
239,32,10,37,1.2935930830760314,
241,32,10,39,1.4520511061427075,1.8349913489443106
246,32,10,44,2.089232358297712,2.455958645558363
247,32,10,45,1.6244967773047219,
248,32,10,46,1.2216249830959718,
249,32,10,47,0.8686059080224381,
250,32,10,48,0.8188254288914875,
251,32,10,49,0.9067320930302226,1.2188960718453
252,32,10,50,1.2642521714647215,
253,32,10,51,0.8274331566666259,
255,32,10,53,1.2860517518834726,
256,32,10,54,1.2046753690862484,1.6049865511321924
258,32,10,56,1.279222060370723,
259,32,10,57,1.0668368595741704,
262,32,10,60,1.230131618222001,
263,32,10,61,1.3022775964942552,
264,32,10,62,1.4907062694445314,
265,32,10,63,0.8083218173027193,
270,32,10,68,1.339279524344507,
271,32,10,69,1.2691707763941675,1.7790037714910556
273,32,10,71,1.2155923195046958,
275,32,10,73,1.0079420115616182,
276,32,10,74,0.7668266070122967,1.241489249630569
277,32,10,75,1.211648125321711,
278,32,10,76,0.7583551952306788,
280,32,10,78,1.2759229193878217,
284,32,10,82,1.1105809566723492,
286,32,10,84,1.3185820571188756,1.5958639299947104
287,32,10,85,1.2008596752452696,
289,32,10,87,1.150953456689383,
292,32,10,90,1.201459090864068,
294,32,10,92,0.8216559225188779,
295,32,10,93,1.3658780391902128,
299,32,10,97,1.2562836954442502,
304,32,10,102,1.2062216118734752,
307,32,10,105,0.9677086993058079,
308,32,10,106,0.9205488795642871,
309,32,10,107,1.111915646164402,
311,32,10,109,1.3588091194787897,1.7695595593071114
312,32,10,110,1.1646446527162533,
315,32,10,113,1.316821945838922,
318,32,10,116,1.282635186998763,
319,32,10,117,1.6830587323091972,
320,32,10,118,0.8063809388488502,
321,32,10,119,0.809200983484372,1.2098716336369484
322,32,10,120,0.8293054552157694,
323,32,10,121,1.0184058978548607,
325,32,10,123,0.8306229247635701,
326,32,10,124,0.9981134371191258,1.3148695711970306
327,32,10,125,0.8785305246669113,
328,32,10,126,0.8133755541887875,
329,32,10,127,0.9380630811739128,
330,32,10,128,0.8274975286826695,
331,32,10,129,0.8159986880218673,1.119705211532094
333,32,10,131,1.2887710591248895,
336,32,10,134,0.9253676150079093,1.2634516726720446
338,32,10,136,1.3183212244067724,
339,32,10,137,1.0005285824815642,
340,32,10,138,1.2436255340311602,
341,32,10,139,0.8379634646382895,1.2210457410335491
344,32,10,142,0.9645347601575054,
346,32,10,144,0.7314144203448402,1.166544710963377
347,32,10,145,1.0269727320578999,
348,32,10,146,1.0811228441858638,
349,32,10,147,0.8359963470783829,
350,32,10,148,0.8064476413041466,
351,32,10,149,0.8565602858650657,1.2157404073858247
352,32,10,150,0.9935609323787392,
353,32,10,151,0.8965628037948881,
354,32,10,152,0.7534368378665646,
355,32,10,153,1.0194112596999825,
356,32,10,154,0.9672991556026148,1.4206912086606176
357,32,10,155,0.9053634799703196,
358,32,10,156,0.8605873028856774,
359,32,10,157,0.7982712177348215,
361,32,11,1,1.5885828617483377,
362,32,11,2,0.8222827967365085,
363,32,11,3,1.0051309308767322,
364,32,11,4,0.9409869037455304,1.2473868386650073
365,32,11,5,1.138720927073808,
366,32,11,6,1.309122829506695,
367,32,11,7,0.9122414720553159,
369,32,11,9,1.3433066044290396,1.6505083067345643
370,32,11,10,1.3214162959377427,
372,32,11,12,0.9740844083738364,
373,32,11,13,0.8278370415854467,
374,32,11,14,1.2944934483332922,1.6382415905743817
375,32,11,15,0.7856041804763676,
377,32,11,17,1.1785276541331409,
378,32,11,18,0.8439872139583557,
379,32,11,19,0.8690850803256011,1.2480370396375624
380,32,11,20,1.5940120123207586,
381,32,11,21,1.2201824471646572,
383,32,11,23,0.9733285596448145,
385,32,11,25,1.3550149334362223,
386,32,11,26,1.6198772629581344,
387,32,11,27,0.8387650107336095,
389,32,11,29,1.4229929766762268,1.810722066383363
392,32,11,32,1.2540767480960444,
393,32,11,33,0.7844943092512285,
394,32,11,34,1.0140601223203538,1.2573338713860487
395,32,11,35,0.8181905086909281,
396,32,11,36,1.3203350927206758,
397,32,11,37,0.884660730954186,
398,32,11,38,1.1209580867588531,
405,32,11,45,1.1044730339914566,
407,32,11,47,1.79376796555281,
409,32,11,49,1.323228440182655,1.797154388799073
411,32,11,51,1.3037162653356802,
413,32,11,53,1.733558086987425,
414,32,11,54,1.6331567882704667,1.8384979470777416
415,32,11,55,2.562261764435755,
417,32,11,57,1.2346843097555835,
419,32,11,59,1.3086071081450388,1.52844163255213
420,32,11,60,1.2487364587020697,
421,32,11,61,0.8367839083957449,
422,32,11,62,1.1162751261307478,
425,32,11,65,0.775031205693483,
429,32,12,1,1.9453418624198444,
430,32,12,2,0.7585370137412842,
431,32,12,3,0.762619985113591,1.2003116242510077
433,32,12,5,1.2129430452290193,
434,32,12,6,0.7930236250048908,
435,32,12,7,1.3431722679343805,
436,32,12,8,0.7791663915348032,1.2237557009458522
437,32,12,9,1.084021632261873,
440,32,12,12,1.2597873063519542,
441,32,12,13,1.2306024103415003,1.6322706557196365
442,32,12,14,1.0688936761039507,
443,32,12,15,1.3034859451369973,
445,32,12,17,1.1867321037986827,
446,32,12,18,0.93083468628973,1.2585991590648908
447,32,12,19,0.8442255641981975,
448,32,12,20,0.8091111133733377,
449,32,12,21,1.4508424754172664,
450,32,12,22,0.8137288175494973,
451,32,12,23,0.8938147354099221,1.3259146842378418
453,32,12,25,0.836400915575027,
456,32,12,28,1.915818793534492,2.3139978920012734
458,32,12,30,1.5357697773629373,
459,32,12,31,1.3677692435786906,
460,32,12,32,1.2354305287867857,
461,32,12,33,1.142500454192901,1.6467809064981294
462,32,12,34,0.7631081972272679,
463,32,12,35,0.8538895894706324,
464,32,12,36,0.7898517699812354,
465,32,12,37,0.871342006243246,
469,32,12,41,1.8746244381564219,
470,32,12,42,0.9611094548693276,
471,32,12,43,1.1010212823894603,1.5460842028719233
472,32,12,44,1.246494776355333,
473,32,12,45,0.9070372708528571,
474,32,12,46,1.2600214862627013,
475,32,12,47,0.7958809308633401,
476,32,12,48,0.7760790032655047,1.4204642580211144
477,32,12,49,0.8740353381979462,
478,32,12,50,0.7660634246709928,
483,32,12,55,3.2025351763466774,
485,32,12,57,1.0808506273241307,
487,32,12,59,1.5697195187759594,
489,32,12,61,0.7578843945772177,
490,32,12,62,1.271577454082359,
492,32,12,64,0.7711613132654173,
495,32,12,67,2.218537087992413,
496,32,12,68,1.1934881047074717,1.6434559320694384
497,32,12,69,1.2275453741196183,
499,32,12,71,1.3997076602757195,
500,32,12,72,1.2252003910238969,
504,32,12,76,1.3927919006800547,
505,32,12,77,0.7417673818632481,
507,32,12,79,1.1823568220538154,
508,32,12,80,0.8962810499899708,
510,32,12,82,0.8602057432134337,
