scorer,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000
bodyparts,wrist,wrist,wrist,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,506.6889953613281,334.09100341796875,0.0026397407054901123,472.6656188964844,323.66156005859375,0.9999828338623047,493.60345458984375,327.8385314941406,0.9999009966850281,517.730224609375,337.0922546386719,0.9980063438415527,540.5462036132812,349.9273376464844,0.9976292848587036,491.8481140136719,227.322509765625,0.9999996423721313,519.7320556640625,204.34910583496094,0.9999990463256836,548.9085083007812,220.4865264892578,0.9999997615814209,564.5275268554688,276.7269592285156,0.9999967813491821
1,506.6889953613281,334.308349609375,0.0026073455810546875,472.6656188964844,325.16278076171875,0.9999932646751404,493.60345458984375,331.4073486328125,0.9999729990959167,517.730224609375,338.0384521484375,0.9998862743377686,540.7306518554688,349.9273376464844,0.9942043423652649,492.15777587890625,227.9040069580078,0.9999997019767761,519.7320556640625,204.74766540527344,0.9999982714653015,548.9085083007812,220.4865264892578,0.9999994039535522,564.7394409179688,276.7269592285156,0.9999949336051941
2,506.6889953613281,335.29010009765625,0.006304711103439331,473.98822021484375,325.82666015625,0.9999836683273315,494.8679504394531,331.4073486328125,0.9997608661651611,518.5588989257812,338.0384521484375,0.983474612236023,541.1442260742188,351.0501708984375,0.862850546836853,492.15777587890625,227.9040069580078,0.9999993443489075,519.7320556640625,205.12014770507812,0.9999960660934448,549.0076293945312,220.9447479248047,0.9999992847442627,564.9844970703125,276.857177734375,0.9993053674697876
3,467.2618713378906,399.58831787109375,0.02913302183151245,473.2962951660156,326.3639831542969,0.9999724626541138,493.60345458984375,331.4900207519531,0.9997760653495789,517.730224609375,338.0384521484375,0.994486927986145,541.1442260742188,351.0501708984375,0.9914449453353882,492.15777587890625,227.9040069580078,0.9999998807907104,519.7320556640625,205.49957275390625,0.9999992251396179,549.0076293945312,222.62208557128906,0.9999997615814209,565.1551513671875,276.7269592285156,0.9999841451644897
4,467.2618713378906,399.58831787109375,0.0035882890224456787,473.2962951660156,326.5511779785156,0.9999875426292419,494.84356689453125,332.6805419921875,0.9999801516532898,518.5588989257812,338.0384521484375,0.9999440908432007,541.1442260742188,351.0501708984375,0.9996684789657593,492.36090087890625,227.9040069580078,0.9999998807907104,521.0777587890625,206.47303771972656,0.9999990463256836,548.9430541992188,222.62208557128906,0.9999997615814209,565.1551513671875,276.7269592285156,0.9999954104423523
5,467.2618713378906,399.6556091308594,0.38529500365257263,473.1120910644531,328.1670227050781,0.9999915957450867,493.6627197265625,332.6805419921875,0.9999901056289673,517.216796875,338.379150390625,0.999991238117218,539.7803955078125,351.1241455078125,0.9998971819877625,492.5045166015625,227.9040069580078,0.9999994039535522,520.625244140625,207.47018432617188,0.9999985098838806,549.0076293945312,222.62208557128906,0.9999996423721313,565.1551513671875,276.857177734375,0.9999996423721313
6,468.3055114746094,400.86907958984375,0.9960836172103882,473.2962951660156,326.5511779785156,0.9999698400497437,493.6627197265625,330.6884460449219,0.9999145269393921,517.216796875,338.379150390625,0.9999268651008606,539.7803955078125,351.1241455078125,0.9999154806137085,492.60906982421875,228.0009307861328,0.9999996423721313,520.625244140625,207.81277465820312,0.9999990463256836,549.8272094726562,222.62208557128906,0.9999996423721313,565.5355224609375,276.857177734375,0.9999979734420776
7,468.3055114746094,401.1434326171875,0.011395424604415894,473.1120910644531,326.5511779785156,0.9999898076057434,493.6627197265625,330.6884460449219,0.9999793171882629,517.216796875,338.379150390625,0.9999899864196777,539.7803955078125,351.1241455078125,0.9973052740097046,492.655517578125,229.28012084960938,0.9999997615814209,520.625244140625,207.81277465820312,0.9999982118606567,549.8272094726562,222.64791870117188,0.9999997615814209,565.5355224609375,277.16845703125,0.9999985694885254
8,468.3055114746094,400.86907958984375,0.06354588270187378,472.7313537597656,326.5511779785156,0.9999935626983643,494.4319152832031,330.6884460449219,0.999970555305481,517.4197387695312,337.2805480957031,0.9991060495376587,540.084228515625,351.1241455078125,0.9993187785148621,492.655517578125,228.12989807128906,0.9999999403953552,520.4786987304688,207.47018432617188,0.9999992847442627,549.1934814453125,222.3143310546875,0.9999997615814209,565.5355224609375,278.287353515625,0.9996644258499146
9,468.3055114746094,400.86907958984375,0.3315599262714386,472.7120056152344,326.25384521484375,0.9999964237213135,493.6627197265625,330.6884460449219,0.9999914169311523,517.216796875,337.2805480957031,0.9999702572822571,540.084228515625,351.1241455078125,0.9997744560241699,492.8061828613281,228.12989807128906,0.9999997019767761,520.4786987304688,207.18031311035156,0.999998927116394,549.8272094726562,222.26425170898438,0.9999997019767761,566.1978759765625,278.5268859863281,0.9999898672103882
10,468.3055114746094,400.2908020019531,0.005730122327804565,472.7120056152344,325.39654541015625,0.9999940395355225,494.4319152832031,329.48199462890625,0.9999727010726929,517.4197387695312,336.98651123046875,0.9999773502349854,540.5534057617188,350.2830505371094,0.9999505281448364,492.655517578125,228.12989807128906,0.9999997615814209,520.4786987304688,207.18031311035156,0.9999992847442627,549.1934814453125,222.26425170898438,0.9999996423721313,566.1978759765625,278.7202453613281,0.9999966025352478
11,470.3909606933594,398.939208984375,0.518291711807251,472.7120056152344,324.26934814453125,0.9999918937683105,494.8432312011719,328.1976318359375,0.9997653961181641,518.1815795898438,336.25836181640625,0.998848557472229,541.3258666992188,349.9518127441406,0.9995328187942505,492.655517578125,228.53860473632812,0.9999997615814209,521.065673828125,206.81211853027344,0.9999985098838806,549.1934814453125,222.26425170898438,0.9999997615814209,566.3541259765625,278.7202453613281,0.9946788549423218
12,470.3909606933594,397.62652587890625,0.019115537405014038,472.3561096191406,324.81219482421875,0.9999953508377075,494.4319152832031,331.1336669921875,0.9999822974205017,517.55322265625,337.2805480957031,0.9998964071273804,540.5534057617188,351.11102294921875,0.9997295141220093,492.6033020019531,228.53860473632812,0.9999986886978149,521.065673828125,206.76434326171875,0.9999983310699463,549.1934814453125,222.26425170898438,0.9999997019767761,566.3541259765625,278.7202453613281,0.9993491768836975
13,470.3909606933594,393.6092529296875,0.002441227436065674,472.3561096191406,324.81219482421875,0.9999957084655762,493.0708312988281,331.2134094238281,0.9999859929084778,517.55322265625,338.31976318359375,0.999934196472168,541.3258666992188,351.11102294921875,0.9998903870582581,492.6033020019531,228.75662231445312,0.9999998807907104,521.065673828125,206.76434326171875,0.9999980926513672,549.1533203125,222.26425170898438,0.9999995231628418,565.7191772460938,279.7977600097656,0.9994871616363525
14,470.01312255859375,393.6092529296875,0.06466230750083923,473.1664733886719,324.26934814453125,0.9999945163726807,494.8432312011719,328.1976318359375,0.9999699592590332,518.1815795898438,336.25836181640625,0.9999822974205017,541.5203857421875,349.9518127441406,0.999936044216156,492.30181884765625,228.75662231445312,0.9999997615814209,519.9083862304688,206.75047302246094,0.9999969005584717,549.152587890625,221.73544311523438,0.9999998211860657,565.3823852539062,277.2806701660156,0.9999969601631165
15,470.01312255859375,392.857177734375,0.007307916879653931,473.1664733886719,324.7142333984375,0.9999930262565613,495.9246520996094,330.2289733886719,0.9999797344207764,517.675048828125,338.31976318359375,0.9998544454574585,541.5203857421875,350.7475891113281,0.9988995790481567,492.30181884765625,228.57110595703125,0.9999992847442627,519.9083862304688,206.75047302246094,0.9999990463256836,548.495361328125,221.73544311523438,0.9999997615814209,565.7191772460938,277.2806701660156,0.999974250793457
16,469.9603576660156,392.857177734375,0.23117351531982422,472.8625183105469,324.7142333984375,0.9999831914901733,495.95086669921875,330.2289733886719,0.9999799132347107,517.675048828125,338.31976318359375,0.9999189376831055,539.8869018554688,350.7475891113281,0.9998220205307007,492.30181884765625,228.57110595703125,0.9999997615814209,518.7241821289062,206.75047302246094,0.9999991655349731,548.495361328125,222.43580627441406,0.999999463558197,565.3823852539062,278.3464050292969,0.9999972581863403
17,469.9603576660156,392.857177734375,0.8921619653701782,473.1664733886719,324.7142333984375,0.9999920129776001,495.95086669921875,330.2289733886719,0.9999104738235474,517.675048828125,337.0350646972656,0.9999921321868896,540.4776000976562,350.7475891113281,0.9998043775558472,492.7251281738281,228.46632385253906,0.9999997019767761,518.7241821289062,206.55848693847656,0.9999983310699463,548.495361328125,222.43580627441406,0.9999997615814209,565.196044921875,278.3464050292969,0.9999974966049194
18,468.48065185546875,396.84417724609375,0.05973023176193237,472.8625183105469,324.17657470703125,0.9999958276748657,495.95086669921875,328.7298583984375,0.999987781047821,517.675048828125,336.4371032714844,0.9998999834060669,539.8869018554688,350.7475891113281,0.9996137022972107,492.7251281738281,228.2960205078125,0.9999998807907104,519.916259765625,206.55848693847656,0.9999985694885254,548.0381469726562,222.43580627441406,0.9999997615814209,565.196044921875,278.3464050292969,0.9999974966049194
19,469.9603576660156,391.43408203125,0.009730398654937744,472.8625183105469,324.17657470703125,0.9999933838844299,494.88671875,328.7298583984375,0.9999719262123108,517.675048828125,336.4371032714844,0.9999389052391052,539.8869018554688,350.7475891113281,0.9997447729110718,492.9527282714844,227.94534301757812,0.9999997615814209,520.0256958007812,206.55848693847656,0.999998152256012,548.4254150390625,222.43580627441406,0.9999995827674866,565.8943481445312,278.3464050292969,0.9997628331184387
20,468.48065185546875,396.84417724609375,0.05812320113182068,472.8625183105469,324.17657470703125,0.9999970197677612,494.12921142578125,328.7298583984375,0.9999650120735168,517.166015625,336.4371032714844,0.9999327063560486,539.8869018554688,350.9364929199219,0.9997119903564453,492.7251281738281,228.2960205078125,0.9999997615814209,520.0256958007812,206.55848693847656,0.9999989867210388,548.4254150390625,221.31565856933594,0.9999997615814209,565.0037841796875,277.87353515625,0.999967098236084
21,467.68145751953125,396.84417724609375,0.002776592969894409,471.4848937988281,325.05841064453125,0.9999903440475464,492.9899597167969,330.7551574707031,0.9999642372131348,516.6027221679688,337.0350646972656,0.9997761249542236,540.4776000976562,352.1448059082031,0.999278724193573,492.7251281738281,228.46632385253906,0.9999998211860657,520.0256958007812,206.9802703857422,0.9999994039535522,548.4254150390625,221.31565856933594,0.9999997615814209,565.0037841796875,277.4407043457031,0.9999991655349731
22,467.68389892578125,397.5995178222656,0.9278824329376221,471.4848937988281,324.844970703125,0.9999978542327881,492.9899597167969,329.90472412109375,0.9999852180480957,516.6027221679688,335.98809814453125,0.9999939799308777,541.2426147460938,350.9364929199219,0.9999944567680359,492.8248596191406,228.2960205078125,0.9999994039535522,519.916259765625,207.15618896484375,0.9999983906745911,548.5227661132812,220.99798583984375,0.9999998211860657,565.787353515625,277.0500793457031,0.9999983310699463
23,466.9753112792969,397.5995178222656,0.004789590835571289,471.4848937988281,324.844970703125,0.9999978542327881,493.0660400390625,329.90472412109375,0.9999859929084778,516.6027221679688,337.41815185546875,0.9999681115150452,541.2426147460938,349.62420654296875,0.9995890855789185,492.50567626953125,227.7986297607422,0.9999998807907104,520.1907348632812,207.52220153808594,0.9999995231628418,549.1796875,220.99798583984375,0.9999997615814209,565.787353515625,277.0500793457031,0.9999990463256836
24,466.9753112792969,397.5995178222656,0.018815815448760986,471.4848937988281,324.844970703125,0.9999940395355225,493.0660400390625,329.90472412109375,0.9999253153800964,516.6027221679688,337.41815185546875,0.9997313022613525,541.2426147460938,349.62420654296875,0.9997464418411255,492.50567626953125,229.22262573242188,0.9999997615814209,518.5640869140625,207.77099609375,0.9999986886978149,549.1796875,221.8866729736328,0.9999995231628418,564.9952392578125,277.4407043457031,0.9999606609344482
25,467.476318359375,397.48797607421875,0.1996248960494995,471.4848937988281,324.6621398925781,0.9999964833259583,493.0660400390625,329.80548095703125,0.9999719262123108,517.1488647460938,337.41815185546875,0.9998817443847656,541.9564208984375,349.3861999511719,0.9992579221725464,492.64593505859375,227.7986297607422,0.9999998211860657,518.5640869140625,207.77099609375,0.9999992847442627,549.96044921875,221.8866729736328,0.9999995827674866,564.756591796875,276.49432373046875,0.9996553659439087
26,467.5067443847656,397.48797607421875,0.06237363815307617,472.439208984375,323.7902526855469,0.9999963045120239,494.1065673828125,329.4577941894531,0.9999884366989136,518.8731689453125,335.888671875,0.9999460577964783,541.9564208984375,349.1318359375,0.9993067383766174,492.7445068359375,227.7986297607422,0.9999997615814209,519.5014038085938,207.37864685058594,0.9999997615814209,549.96044921875,221.60218811035156,0.9999995231628418,565.787353515625,278.92633056640625,0.9999971389770508
27,467.476318359375,397.48797607421875,0.05502811074256897,472.040771484375,323.7902526855469,0.9999982714653015,494.69830322265625,328.8656921386719,0.9999882578849792,517.1488647460938,337.41815185546875,0.9998681545257568,541.9564208984375,349.1318359375,0.99985671043396,492.7445068359375,228.76087951660156,0.9999997019767761,519.5014038085938,207.77099609375,0.9999983310699463,549.654296875,221.89968872070312,0.9999992251396179,565.16015625,278.9776611328125,0.9999985098838806
28,467.5067443847656,397.48797607421875,0.9830312132835388,472.8835144042969,324.44927978515625,0.9999791979789734,494.69830322265625,328.8656921386719,0.9999955296516418,518.3108520507812,337.90264892578125,0.9999812841415405,541.9564208984375,349.1318359375,0.9998682737350464,492.7445068359375,229.1326141357422,0.9999998807907104,519.5014038085938,207.62718200683594,0.9999991655349731,548.50244140625,221.60218811035156,0.9999997615814209,565.16015625,278.92633056640625,0.9999982118606567
29,467.5067443847656,398.8163146972656,0.008535593748092651,472.040771484375,324.6621398925781,0.9999936819076538,493.63970947265625,329.80548095703125,0.9999338388442993,517.3570556640625,338.0415954589844,0.9999693632125854,540.9046630859375,350.2354431152344,0.9997739195823669,492.64593505859375,228.84185791015625,0.9999997019767761,520.3363037109375,207.62718200683594,0.9999995231628418,548.50244140625,221.21392822265625,0.9999997019767761,566.1409301757812,278.9776611328125,0.9998852014541626
30,468.0664367675781,398.8163146972656,0.12460100650787354,472.040771484375,324.44927978515625,0.9999982714653015,494.65692138671875,328.8656921386719,0.9999929666519165,517.5001831054688,337.90264892578125,0.9999684691429138,540.9046630859375,350.5522766113281,0.9996117353439331,492.4935607910156,229.1326141357422,0.9999997019767761,519.5014038085938,208.0695343017578,0.9999991655349731,548.50244140625,221.60218811035156,0.9999997615814209,566.1409301757812,279.10638427734375,0.9999794960021973
31,467.2663879394531,398.98626708984375,0.004566282033920288,471.4864196777344,326.00506591796875,0.9999961853027344,493.63970947265625,330.6158752441406,0.9999837875366211,517.3570556640625,338.2123718261719,0.9999858140945435,540.9046630859375,353.50067138671875,0.9998064041137695,492.4935607910156,229.3087921142578,0.9999997615814209,520.3363037109375,208.0695343017578,0.9999986290931702,548.5234375,222.24853515625,0.9999997615814209,566.1409301757812,279.3251953125,0.9999977350234985
32,466.5837707519531,400.1878967285156,0.0023607611656188965,470.5779724121094,327.4313659667969,0.9999910593032837,492.5576477050781,330.64373779296875,0.9997537136077881,517.3570556640625,337.90264892578125,0.999692440032959,538.662109375,353.50067138671875,0.9999048113822937,492.4935607910156,229.3087921142578,0.9999996423721313,520.6115112304688,207.96151733398438,0.9999993443489075,548.5234375,222.24853515625,0.9999996423721313,566.1409301757812,279.3251953125,0.9999935626983643
33,466.5837707519531,400.1878967285156,0.1520305573940277,470.5779724121094,327.4313659667969,0.9999939799308777,492.5576477050781,332.4597473144531,0.9999859929084778,517.3570556640625,337.8490905761719,0.9999964237213135,538.662109375,353.50067138671875,0.999980628490448,492.4935607910156,229.3087921142578,0.9999997615814209,520.6115112304688,208.0695343017578,0.9999995231628418,548.5234375,222.24853515625,0.9999997019767761,566.0318603515625,279.3251953125,0.9999974966049194
34,466.792236328125,400.1878967285156,0.06339004635810852,471.2770690917969,326.1827697753906,0.9999972581863403,493.205810546875,330.64373779296875,0.9999806880950928,517.5001831054688,337.1996765136719,0.9999616146087646,540.6751708984375,351.9747619628906,0.9993180632591248,492.4957275390625,229.89773559570312,0.9999997615814209,520.6115112304688,209.01133728027344,0.9999984502792358,548.5234375,223.06687927246094,0.9999997019767761,565.8781127929688,279.546630859375,0.9999994039535522
35,466.6345520019531,400.1878967285156,0.01932463049888611,470.050048828125,328.3884582519531,0.999983549118042,492.9654846191406,332.4597473144531,0.9995790719985962,514.8959350585938,337.8490905761719,0.9963270425796509,538.72705078125,351.9747619628906,0.9928390979766846,492.4957275390625,229.69113159179688,0.9999997615814209,520.6124877929688,208.72291564941406,0.9999994039535522,548.5234375,223.06687927246094,0.9999986290931702,566.0318603515625,279.3330993652344,0.9999449253082275
36,466.792236328125,398.5664978027344,0.972214937210083,471.2770690917969,326.1827697753906,0.9999985694885254,493.205810546875,330.64373779296875,0.9999945163726807,517.7467651367188,337.1996765136719,0.9999485015869141,540.6751708984375,351.4299621582031,0.9998847246170044,492.84271240234375,229.69113159179688,0.9999997615814209,520.6409912109375,208.72291564941406,0.9999995231628418,548.6857299804688,223.06687927246094,0.9999996423721313,566.0318603515625,279.3330993652344,0.9999974370002747
37,467.5081787109375,398.5664978027344,0.045071423053741455,471.8971862792969,324.7085266113281,0.9999970197677612,494.26617431640625,329.854248046875,0.9999867677688599,517.788818359375,335.327392578125,0.9999972581863403,541.659912109375,349.61029052734375,0.9999712109565735,492.84271240234375,229.89773559570312,0.9999998807907104,521.0113525390625,208.72291564941406,0.9999990463256836,549.0919189453125,222.05899047851562,0.9999999403953552,566.0318603515625,279.3330993652344,0.9999971389770508
38,468.089111328125,398.5664978027344,0.9998636245727539,472.1392517089844,324.7085266113281,0.9999957084655762,494.26617431640625,329.854248046875,0.9999080896377563,517.788818359375,335.327392578125,0.9997867941856384,540.6751708984375,351.9747619628906,0.9997465014457703,492.9878234863281,229.86520385742188,0.9999997615814209,521.0113525390625,208.72291564941406,0.9999992847442627,549.0919189453125,223.58456420898438,0.9999994039535522,566.0864868164062,279.3330993652344,0.9999992847442627
39,469.815185546875,398.5664978027344,0.0031237900257110596,472.9670715332031,326.10675048828125,0.9999916553497314,493.3052673339844,329.854248046875,0.9999867081642151,517.4426879882812,335.82135009765625,0.9999535083770752,539.9057006835938,351.0749816894531,0.9997920989990234,492.9878234863281,229.86520385742188,0.9999995231628418,520.6409912109375,208.70216369628906,0.9999990463256836,549.0919189453125,222.05899047851562,0.9999996423721313,566.12255859375,277.57513427734375,0.9999910593032837
40,472.32598876953125,397.8472900390625,0.004583299160003662,472.9670715332031,324.7085266113281,0.9999884366989136,493.3052673339844,329.84979248046875,0.9999321699142456,519.584228515625,335.3050231933594,0.9999890327453613,542.4196166992188,349.61029052734375,0.9997988939285278,492.9878234863281,229.86520385742188,0.9999997615814209,518.6262817382812,207.5590362548828,0.9999994039535522,549.0469360351562,222.02679443359375,0.9999997019767761,566.12255859375,277.57513427734375,0.9999990463256836
