EDfile_name,index_events_code_start,index_events_code_end,failed/non_failed,update/non-update,id_target,id_update,bhvStat1,failed/non_failed,id_target,id_update,trial_mode,start_of_pre_cue,last_enter_to_target,cue_onset,go_signal,trial_jump,move_onset,in_periphery,end_of_hold,reward,end_of_trial
t5601ee.1.mat,1,2,1,1,2,3,1,1,2,3,9.7479,9.9862,10.0081,10.5877,11.4399,11.4862,11.6391,12.0239,11.4862,12.1381,12.4441,11.5967
t5601ee.1.mat,3,4,1,2,4,NaN,2,2,4,NaN,13.6192,13.8391,14.3206,14.8175,15.4515,NaN,15.852,16.0198,16.4386,16.1349,16.442,15.7695
t5601ee.1.mat,5,6,1,2,6,NaN,3,2,6,NaN,17.6156,17.8374,18.2689,18.8474,19.5982,NaN,19.9823,20.0995,20.5161,20.2146,20.5188,19.9134
t5601ee.1.mat,7,8,1,2,1,NaN,4,2,1,NaN,21.6916,21.9167,22.0475,22.5781,23.2948,NaN,23.7462,23.8648,25.3661,25.0441,25.3688,23.6551
t5601ee.1.mat,9,10,1,2,8,NaN,5,2,8,NaN,26.543,26.7705,27.3152,27.8904,28.7078,NaN,28.7269,29.0594,29.61,29.3071,29.6132,28.6964
t5601ee.1.mat,11,12,1,1,4,8,6,1,4,8,30.7893,31.0156,33.538,34.0519,34.7195,34.8675,35.0198,35.3885,34.8675,35.603,35.9093,35.0149
t5601ee.1.mat,13,14,1,2,5,NaN,7,2,5,NaN,37.0847,37.3148,40.8819,41.3796,41.9959,NaN,42.3301,42.5144,42.933,42.6299,42.9366,42.2706
t5601ee.1.mat,15,16,1,2,3,NaN,8,2,3,NaN,44.1105,44.3478,45.1157,45.6919,46.4256,NaN,46.4936,46.8941,47.427,47.1259,47.4294,46.6459
t5601ee.1.mat,17,18,1,2,2,NaN,9,2,2,NaN,48.5993,48.8269,49.0594,49.6227,50.439,NaN,50.7737,50.9747,51.3926,51.0894,51.3963,50.7657
t5601ee.1.mat,19,20,1,2,7,NaN,10,2,7,NaN,52.5707,52.8165,53.5388,54.1026,54.8187,NaN,54.9364,55.2874,55.7057,55.4024,55.709,55.0106
t5601ee.1.mat,21,22,0,1,8,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,23,24,0,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,25,26,1,2,3,NaN,11,2,3,NaN,63.4572,63.7202,64.1297,64.7103,65.4938,NaN,65.6111,65.9788,66.3964,66.094,66.3999,65.7623
t5601ee.1.mat,27,28,0,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,29,30,1,2,7,NaN,12,2,7,NaN,70.6025,70.8393,71.4407,71.987,72.8041,NaN,73.1386,73.3224,73.7409,73.4373,73.7443,73.112
t5601ee.1.mat,31,32,0,1,7,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,33,34,1,2,5,NaN,13,2,5,NaN,78.2762,78.5241,78.9509,79.4809,80.1484,NaN,80.433,80.672,81.0853,80.7819,81.0884,80.4039
t5601ee.1.mat,35,36,1,2,2,NaN,14,2,2,NaN,82.2627,82.5214,84.0306,84.6101,85.2774,NaN,85.5949,85.8288,86.2476,85.9441,86.2511,85.6011
t5601ee.1.mat,37,38,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,39,40,1,2,6,NaN,15,2,6,NaN,90.7487,91.0065,91.5076,92.0204,92.6723,NaN,93.1052,93.2908,93.7088,93.4054,93.7125,93.0764
t5601ee.1.mat,41,42,1,1,6,2,16,1,6,2,94.8891,95.1502,95.7374,96.2839,96.9841,97.1329,97.1486,97.2717,97.1329,98.1339,98.4397,97.0889
t5601ee.1.mat,43,44,1,2,3,NaN,17,2,3,NaN,99.6122,99.8737,101.3495,101.8458,102.6132,NaN,102.643,103.015,103.4333,103.1298,103.4365,102.6178
t5601ee.1.mat,45,46,1,2,7,NaN,18,2,7,NaN,104.6114,104.8687,106.6118,107.1084,107.8091,NaN,108.0931,108.4274,108.8442,108.5423,108.8475,108.1664
