Subsession,SCPStim,SCPStimAmp,HFS,BURST,Update,Files,TaskMode,Electrode1Depth,Electrode2Depth,Electrode3Depth,Electrode4Depth
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,250,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,1,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,250,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,1,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,250,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,1,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,250,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,1,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,250,0,0,1,1-25,Reach,4,13.4,12.6,14.7
1,1,150,1,0,1,1-25,Reach,4,13.4,12.6,14.7
1,0,,0,0,1,1-25,Reach,4,13.4,12.6,14.7
