EDFile,plxMergeEDFiles,KiloMergedEDFiles,ED_trial,Video_trial,Success
t5601ee.1,,t5601ee.1,1,1,1
t5601ee.1,,t5601ee.1,2,2,1
t5601ee.1,,t5601ee.1,3,3,1
t5601ee.1,,t5601ee.1,4,4,1
t5601ee.1,,t5601ee.1,5,5,1
t5601ee.1,,t5601ee.1,6,6,1
t5601ee.1,,t5601ee.1,7,7,1
t5601ee.1,,t5601ee.1,8,8,1
t5601ee.1,,t5601ee.1,9,9,1
t5601ee.1,,t5601ee.1,10,10,1
t5601ee.1,,t5601ee.1,11,11,0
t5601ee.1,,t5601ee.1,12,12,0
t5601ee.1,,t5601ee.1,13,13,1
t5601ee.1,,t5601ee.1,14,14,0
t5601ee.1,,t5601ee.1,15,15,1
t5601ee.1,,t5601ee.1,16,16,0
t5601ee.1,,t5601ee.1,17,17,1
t5601ee.1,,t5601ee.1,18,18,1
t5601ee.1,,t5601ee.1,19,19,0
t5601ee.1,,t5601ee.1,20,20,1
t5601ee.1,,t5601ee.1,21,21,1
t5601ee.1,,t5601ee.1,22,22,1
t5601ee.1,,t5601ee.1,23,23,1
t5601ee.1,,t5601ee.1,24,24,1
t5601ee.1,,t5601ee.1,25,25,1
t5601ee.1,,t5601ee.1,26,26,1
t5601ee.1,,t5601ee.1,27,27,1
t5601ee.1,,t5601ee.1,28,28,1
t5601ee.1,,t5601ee.1,29,29,1
t5601ee.1,,t5601ee.1,30,30,1
t5601ee.1,,t5601ee.1,31,31,0
t5601ee.1,,t5601ee.1,32,32,1
t5601ee.1,,t5601ee.1,33,33,0
t5601ee.1,,t5601ee.1,34,34,0
t5601ee.1,,t5601ee.1,35,35,0
t5601ee.1,,t5601ee.1,36,36,0
t5601ee.1,,t5601ee.1,37,37,1
t5601ee.1,,t5601ee.1,38,38,1
t5601ee.1,,t5601ee.1,39,39,0
t5601ee.1,,t5601ee.1,40,40,0
t5601ee.1,,t5601ee.1,41,41,1
t5601ee.1,,t5601ee.1,42,42,0
t5601ee.1,,t5601ee.1,43,43,0
t5601ee.1,,t5601ee.1,44,44,1
t5601ee.1,,t5601ee.1,45,45,0
t5601ee.1,,t5601ee.1,46,46,0
t5601ee.1,,t5601ee.1,47,47,1
t5601ee.1,,t5601ee.1,48,48,0
t5601ee.1,,t5601ee.1,49,49,1
t5601ee.1,,t5601ee.1,50,50,1
t5601ee.1,,t5601ee.1,51,51,0
t5601ee.1,,t5601ee.1,52,52,0
t5601ee.1,,t5601ee.1,53,53,0
t5601ee.1,,t5601ee.1,54,54,0
t5601ee.1,,t5601ee.1,55,55,1
t5601ee.1,,t5601ee.1,56,56,1
t5601ee.1,,t5601ee.1,57,57,1
t5601ee.1,,t5601ee.1,58,58,1
t5601ee.1,,t5601ee.1,59,59,0
t5601ee.1,,t5601ee.1,60,60,1
t5601ee.1,,t5601ee.1,61,61,1
t5601ee.1,,t5601ee.1,62,62,1
t5601ee.1,,t5601ee.1,63,63,0
t5601ee.1,,t5601ee.1,64,64,1
t5601ee.1,,t5601ee.1,65,65,1
t5601ee.1,,t5601ee.1,66,66,1
t5601ee.1,,t5601ee.1,67,67,1
t5601ee.1,,t5601ee.1,68,68,1
t5601ee.1,,t5601ee.1,69,69,1
t5601ee.1,,t5601ee.1,70,70,1
t5601ee.1,,t5601ee.1,71,71,1
t5601ee.1,,t5601ee.1,72,72,1
t5601ee.1,,t5601ee.1,73,73,1
t5601ee.1,,t5601ee.1,74,74,1
t5601ee.1,,t5601ee.1,75,75,1
t5601ee.1,,t5601ee.1,76,76,1
t5601ee.1,,t5601ee.1,77,77,0
t5601ee.1,,t5601ee.1,78,78,1
t5601ee.1,,t5601ee.1,79,79,1
t5601ee.1,,t5601ee.1,80,80,0
t5601ee.1,,t5601ee.1,81,81,1
t5601ee.1,,t5601ee.1,82,82,0
t5601ee.1,,t5601ee.1,83,83,1
t5601ee.1,,t5601ee.1,84,84,1
t5601ee.1,,t5601ee.1,85,85,1
t5601ee.1,,t5601ee.1,86,86,1
t5601ee.1,,t5601ee.1,87,87,0
